date,open,high,low,close,volume,index_name
2023-09-29,19671.30078125,19707.599609375,19529.900390625,19541.30078125,244108100,TSX
2023-10-02,19520.900390625,19520.900390625,19145.30078125,19177.19921875,240239600,TSX
2023-10-03,19094.599609375,19125.900390625,18945.80078125,19020.900390625,227841300,TSX
2023-10-04,19017.69921875,19052.19921875,18847.099609375,19034.80078125,215488300,TSX
2023-10-05,18999.5,19157.5,18997.80078125,19137.80078125,191165600,TSX
2023-10-06,19079.599609375,19283.80078125,18907.599609375,19246.099609375,171571500,TSX
2023-10-10,19304.099609375,19573.0,19304.099609375,19501.19921875,211061100,TSX
2023-10-11,19557.5,19669.599609375,19541.69921875,19663.80078125,203638900,TSX
2023-10-12,19673.599609375,19702.099609375,19410.5,19500.19921875,149020600,TSX
2023-10-13,19620.5,19659.099609375,19435.0,19462.900390625,178223300,TSX
2023-10-16,19498.099609375,19643.099609375,19426.900390625,19620.80078125,192172100,TSX
2023-10-17,19561.599609375,19768.599609375,19552.19921875,19692.80078125,195977300,TSX
2023-10-18,19670.099609375,19670.099609375,19434.30078125,19450.69921875,189308900,TSX
2023-10-19,19448.599609375,19505.19921875,19327.099609375,19348.80078125,193909500,TSX
2023-10-20,19309.5,19309.5,19115.599609375,19115.599609375,200966000,TSX
2023-10-23,19042.900390625,19193.400390625,18937.599609375,19046.69921875,194662500,TSX
2023-10-24,19091.19921875,19139.19921875,18952.19921875,18986.5,191869600,TSX
2023-10-25,18929.69921875,19090.80078125,18922.400390625,18947.900390625,182306500,TSX
2023-10-26,18918.099609375,18987.400390625,18811.30078125,18875.30078125,193011000,TSX
2023-10-27,18916.099609375,18927.400390625,18692.099609375,18737.400390625,169618100,TSX
2023-10-30,18794.5,18966.80078125,18762.30078125,18856.80078125,175898200,TSX
2023-10-31,18883.80078125,18928.19921875,18823.900390625,18873.5,255771100,TSX
2023-11-01,18926.19921875,19089.69921875,18907.69921875,19079.0,211870500,TSX
2023-11-02,19162.400390625,19640.099609375,19162.400390625,19626.30078125,223991900,TSX
2023-11-03,19701.30078125,19888.400390625,19690.30078125,19824.900390625,241029200,TSX
2023-11-06,19850.30078125,19905.400390625,19710.0,19743.900390625,178950300,TSX
2023-11-07,19701.30078125,19701.30078125,19530.69921875,19575.599609375,228639800,TSX
2023-11-08,19566.400390625,19646.0,19479.400390625,19530.19921875,196549500,TSX
2023-11-09,19578.80078125,19791.099609375,19578.80078125,19587.400390625,204740300,TSX
2023-11-10,19596.19921875,19655.900390625,19503.19921875,19654.5,170463500,TSX
2023-11-13,19637.69921875,19775.599609375,19606.30078125,19709.19921875,149713900,TSX
2023-11-14,19863.5,20071.0,19863.5,20023.69921875,223084300,TSX
2023-11-15,20061.0,20139.30078125,20035.400390625,20057.900390625,218852500,TSX
2023-11-16,20051.5,20089.5,19969.900390625,20053.099609375,216366800,TSX
2023-11-17,20096.5,20206.599609375,20096.5,20175.80078125,190919700,TSX
2023-11-20,20166.19921875,20262.0,20125.900390625,20246.5,165146100,TSX
2023-11-21,20222.80078125,20259.5,20104.30078125,20110.0,192164500,TSX
2023-11-22,20123.19921875,20168.69921875,20048.900390625,20114.0,200963400,TSX
2023-11-23,20101.900390625,20179.30078125,20101.900390625,20116.69921875,48635800,TSX
2023-11-24,20091.69921875,20156.69921875,20070.5,20103.099609375,119816500,TSX
2023-11-27,20103.69921875,20106.5,20031.80078125,20032.69921875,218137000,TSX
2023-11-28,19955.69921875,20076.0,19918.5,20036.80078125,215593500,TSX
2023-11-29,20063.30078125,20156.30078125,20042.69921875,20116.19921875,203591400,TSX
2023-11-30,20157.599609375,20244.19921875,20107.30078125,20236.30078125,397333600,TSX
